iter	Accuracy	Logloss
0	1	0.4415534654
1	1	0.2882250172
2	1	0.1957914323
3	1	0.1307176508
4	1	0.09272361007
5	1	0.06654464799
6	1	0.04869348922
7	1	0.03712071574
8	1	0.0284492734
9	1	0.02280535888
10	1	0.01777382907
11	1	0.01386953738
12	1	0.01136322126
13	1	0.009337644814
14	1	0.007754946626
15	1	0.006790528433
16	1	0.00573201019
17	1	0.005049005686
18	1	0.004460897781
19	1	0.004024717381
20	1	0.003625904491
21	1	0.003308475819
22	1	0.002975446632
23	1	0.002757423847
24	1	0.002561643673
25	1	0.002374655971
26	1	0.002211473641
27	1	0.002027737511
28	1	0.00190234409
29	1	0.001811529665
30	1	0.001710115631
31	1	0.001617472807
32	1	0.00153762613
33	1	0.001431979535
34	1	0.001370191775
35	1	0.001309503513
36	1	0.00122874348
37	1	0.001179360473
38	1	0.001118049905
39	1	0.001062693793
40	1	0.001025973149
41	1	0.00099081842
42	1	0.0009466969426
43	1	0.0009151363155
44	1	0.000873701934
45	1	0.0008477797539
46	1	0.0008233665514
47	1	0.0008003344048
48	1	0.0007785693681
49	1	0.0007712473834
50	1	0.0007712473834
51	1	0.0007502473304
52	1	0.0007499022571
53	1	0.0007498555581
54	1	0.000733034653
55	1	0.00070528728
56	1	0.0006834074699
57	1	0.0006833789792
58	1	0.0006592556998
59	1	0.0006592504492
60	1	0.0006591975686
61	1	0.0006591909595
62	1	0.0006591856083
63	1	0.0006589384427
64	1	0.0006586026149
65	1	0.0006585750981
66	1	0.0006585223307
67	1	0.0006584945032
68	1	0.0006584417495
69	1	0.0006583890048
70	1	0.0006583362693
71	1	0.000658259445
72	1	0.0006582330875
73	1	0.0006582022499
74	1	0.0006581926501
75	1	0.0006581662982
76	1	0.0006581399486
77	1	0.0006581136013
78	1	0.0006580872563
79	1	0.0006580609136
80	1	0.0006580345731
81	1	0.0006579507275
82	1	0.0006578454095
83	1	0.0006578176403
84	1	0.0006577123677
85	1	0.0006576914265
86	1	0.0006575861972
87	1	0.0006575598972
88	1	0.0006575335995
89	1	0.0006575028317
90	1	0.0006574765389
91	1	0.0006573713835
92	1	0.0006573451021
93	1	0.0006570301843
94	1	0.0006570039323
95	1	0.0006569514338
96	1	0.0006569251886
97	1	0.0006568989456
98	1	0.0006568727048
99	1	0.00065661055
100	1	0.0006565843341
101	1	0.0006565581205
102	1	0.0006565319091
103	1	0.0006565057001
104	1	0.0006564794932
105	1	0.0006564532886
106	1	0.000656446738
107	1	0.0006564401874
108	1	0.0006564270867
109	1	0.0006564205366
110	1	0.0006564139866
111	1	0.0006564074367
112	1	0.0006563943374
113	1	0.0006563419441
114	1	0.0006563353958
115	1	0.0006563288477
116	1	0.0006563222996
117	1	0.0006562699187
118	1	0.0006562175468
119	1	0.000656165184
120	1	0.0006561128301
121	1	0.0006561062868
122	1	0.0006560997436
123	1	0.0006560997436
124	1	0.0006560997436
125	1	0.0006560997436
126	1	0.0006560997436
127	1	0.0006560997436
128	1	0.0006560997436
129	1	0.0006560997436
130	1	0.0006560997436
131	1	0.0006560997436
132	1	0.0006560997436
133	1	0.0006560997436
134	1	0.0006560997436
135	1	0.0006560997436
136	1	0.0006560997436
137	1	0.0006560997436
138	1	0.0006560997436
139	1	0.0006560997436
140	1	0.0006560997436
141	1	0.0006560997436
142	1	0.0006560997436
143	1	0.0006560997436
144	1	0.0006560997436
145	1	0.0006560997436
146	1	0.0006560997436
147	1	0.0006560997436
148	1	0.0006560997436
149	1	0.0006560997436
