iter	Passed	Remaining
412	3490	4960
413	3498	4952
414	3508	4945
415	3517	4938
416	3528	4932
417	3537	4925
418	3546	4917
419	3558	4913
420	3566	4905
421	3576	4898
422	3585	4890
423	3595	4884
424	3606	4879
425	3616	4872
426	3627	4867
427	3637	4860
428	3645	4852
429	3656	4846
430	3666	4840
431	3676	4833
432	3684	4825
433	3694	4817
434	3703	4810
435	3713	4804
436	3722	4796
437	3731	4788
438	3742	4783
439	3752	4776
440	3762	4769
441	3772	4762
442	3780	4752
443	3788	4744
444	3797	4735
445	3807	4729
446	3817	4722
447	3826	4714
448	3835	4706
449	3845	4700
450	3855	4693
451	3864	4685
452	3873	4677
453	3882	4669
454	3890	4660
455	3901	4654
456	3909	4644
457	3919	4638
458	3927	4629
459	3938	4623
460	3948	4616
461	3958	4609
462	3968	4602
463	3977	4594
464	3986	4586
465	3997	4580
466	4007	4573
467	4017	4567
468	4028	4560
469	4039	4555
470	4049	4548
471	4058	4539
472	4068	4532
473	4077	4524
474	4087	4517
475	4098	4511
476	4107	4503
477	4117	4496
478	4130	4492
479	4140	4485
480	4153	4481
481	4163	4474
482	4174	4468
483	4184	4461
484	4194	4454
485	4204	4446
486	4214	4439
487	4223	4431
488	4233	4423
489	4242	4416
490	4253	4408
491	4262	4400
492	4270	4391
493	4280	4384
494	4288	4375
495	4299	4369
496	4311	4363
497	4321	4356
498	4330	4347
499	4338	4338
500	4349	4331
501	4359	4324
502	4367	4315
503	4376	4306
504	4385	4298
505	4396	4292
506	4406	4284
507	4415	4276
508	4423	4267
509	4432	4258
510	4445	4254
511	4457	4248
512	4466	4240
513	4475	4231
514	4484	4222
515	4493	4214
516	4501	4205
517	4510	4197
518	4520	4189
519	4530	4181
520	4539	4173
521	4549	4166
522	4558	4157
523	4566	4148
524	4575	4140
525	4583	4130
526	4593	4122
527	4601	4113
528	4610	4104
529	4617	4095
530	4626	4086
531	4634	4077
532	4645	4069
533	4655	4062
534	4664	4054
535	4673	4045
536	4681	4036
537	4706	4041
538	4719	4036
539	4729	4029
540	4738	4020
541	4747	4011
542	4756	4003
543	4764	3993
544	4774	3986
545	4782	3976
546	4791	3968
547	4800	3959
548	4809	3951
549	4818	3942
550	4827	3933
551	4836	3925
552	4845	3916
553	4855	3908
554	4864	3900
555	4874	3892
556	4883	3884
557	4893	3876
558	4902	3867
559	4911	3859
560	4921	3850
561	4930	3842
562	4940	3834
563	4949	3826
564	4959	3818
565	4968	3809
566	4977	3801
567	4987	3793
568	4998	3786
569	5008	3778
570	5019	3771
571	5028	3762
572	5038	3754
573	5046	3745
574	5056	3737
575	5064	3727
576	5074	3720
577	5087	3714
578	5097	3706
579	5107	3698
580	5115	3689
581	5124	3680
582	5134	3672
583	5144	3664
584	5153	3655
585	5162	3647
586	5172	3639
587	5183	3632
588	5193	3623
589	5202	3615
590	5211	3606
591	5221	3598
592	5233	3591
593	5243	3583
594	5255	3576
595	5264	3568
596	5272	3559
597	5281	3550
598	5291	3542
599	5300	3533
600	5310	3525
601	5320	3517
602	5329	3508
603	5339	3500
604	5350	3493
605	5359	3484
606	5368	3475
607	5377	3466
608	5386	3458
609	5396	3450
610	5405	3441
611	5413	3432
612	5421	3422
613	5450	3426
614	5463	3420
615	5474	3412
616	5485	3404
617	5494	3396
618	5503	3387
619	5513	3378
620	5521	3369
621	5531	3361
622	5540	3352
623	5550	3344
624	5559	3335
625	5568	3326
626	5577	3317
627	5586	3309
628	5595	3300
629	5604	3291
630	5614	3283
631	5622	3273
632	5632	3265
633	5642	3257
634	5651	3248
635	5660	3239
636	5668	3230
637	5677	3221
638	5685	3212
639	5695	3203
640	5703	3194
641	5714	3186
642	5724	3178
643	5733	3169
644	5743	3161
645	5751	3151
646	5760	3142
647	5768	3133
648	5777	3124
649	5785	3115
650	5794	3106
651	5802	3096
652	5812	3088
653	5820	3079
654	5829	3070
655	5838	3061
656	5847	3052
657	5856	3043
658	5864	3034
659	5874	3026
660	5883	3017
661	5892	3008
662	5900	2999
663	5910	2990
664	5918	2981
665	5929	2973
666	5937	2964
667	5946	2955
668	5955	2946
669	5964	2937
670	5974	2929
671	5982	2919
672	5991	2911
673	5999	2901
674	6008	2893
675	6016	2883
676	6026	2875
677	6034	2865
678	6043	2857
679	6052	2848
680	6062	2840
681	6073	2831
682	6082	2822
683	6091	2813
684	6098	2804
685	6107	2795
686	6116	2786
687	6126	2778
688	6135	2769
689	6145	2760
690	6154	2752
691	6161	2742
692	6171	2733
693	6179	2724
694	6188	2715
695	6196	2706
696	6205	2697
697	6213	2688
698	6222	2679
699	6230	2670
700	6240	2661
701	6249	2652
702	6260	2644
703	6269	2636
704	6278	2627
705	6288	2618
706	6295	2609
707	6304	2599
708	6311	2590
709	6322	2582
710	6330	2573
711	6342	2565
712	6351	2556
713	6359	2547
714	6368	2538
715	6378	2530
716	6387	2521
717	6395	2511
718	6406	2503
719	6414	2494
720	6424	2486
721	6435	2477
722	6444	2469
723	6453	2460
724	6461	2451
725	6470	2442
726	6478	2432
727	6489	2424
728	6501	2416
729	6512	2408
730	6523	2400
731	6534	2392
732	6544	2384
733	6556	2375
734	6567	2367
735	6578	2359
736	6587	2350
737	6598	2342
738	6608	2333
739	6617	2324
740	6627	2316
741	6635	2307
742	6646	2299
743	6655	2290
744	6664	2281
745	6674	2272
746	6683	2263
747	6693	2254
748	6701	2245
749	6711	2237
750	6719	2227
751	6729	2219
752	6738	2210
753	6748	2201
754	6758	2193
755	6767	2184
756	6778	2176
757	6788	2167
758	6797	2158
759	6806	2149
760	6815	2140
761	6824	2131
762	6833	2122
763	6842	2113
764	6851	2104
765	6864	2096
766	6874	2088
767	6882	2079
768	6892	2070
769	6901	2061
770	6911	2052
771	6920	2043
772	6930	2035
773	6939	2026
774	6948	2017
775	6959	2008
776	6968	1999
777	6977	1991
778	6987	1982
779	6995	1973
780	7004	1964
781	7013	1955
782	7022	1946
783	7031	1937
784	7040	1928
785	7048	1919
786	7060	1910
787	7069	1901
788	7077	1892
789	7085	1883
790	7094	1874
791	7104	1865
792	7113	1856
793	7137	1851
794	7147	1843
795	7158	1834
796	7168	1825
797	7179	1817
798	7188	1808
799	7198	1799
800	7208	1790
801	7218	1782
802	7226	1772
803	7235	1763
804	7245	1755
805	7256	1746
806	7264	1737
807	7275	1728
808	7284	1719
809	7293	1710
810	7303	1702
811	7312	1693
812	7323	1684
813	7334	1675
814	7344	1667
815	7354	1658
816	7382	1653
817	7393	1644
818	7403	1636
819	7411	1627
820	7422	1618
821	7432	1609
822	7441	1600
823	7451	1591
824	7460	1582
825	7470	1573
826	7482	1565
827	7496	1557
828	7507	1548
829	7523	1541
830	7535	1532
831	7545	1523
832	7555	1514
833	7567	1506
834	7578	1497
835	7590	1489
836	7602	1480
837	7611	1471
838	7620	1462
839	7628	1453
840	7639	1444
841	7650	1435
842	7659	1426
843	7668	1417
844	7677	1408
845	7686	1399
846	7699	1390
847	7710	1382
848	7720	1373
849	7730	1364
850	7739	1355
851	7750	1346
852	7758	1337
853	7768	1328
854	7776	1318
855	7786	1309
856	7795	1300
857	7806	1291
858	7816	1282
859	7824	1273
860	7835	1264
861	7844	1255
862	7854	1246
863	7863	1237
864	7872	1228
865	7881	1219
866	7889	1210
867	7900	1201
868	7910	1192
869	7920	1183
870	7931	1174
871	7939	1165
872	7950	1156
873	7961	1147
874	7971	1138
875	7981	1129
876	7991	1120
877	8002	1112
878	8028	1105
879	8040	1096
880	8051	1087
881	8062	1078
882	8072	1069
883	8082	1060
884	8093	1051
885	8101	1042
886	8113	1033
887	8124	1024
888	8134	1015
889	8144	1006
890	8153	997
891	8162	988
892	8170	979
893	8179	969
894	8187	960
895	8197	951
896	8207	942
897	8218	933
898	8228	924
899	8237	915
900	8247	906
901	8256	897
902	8264	887
903	8273	878
904	8282	869
905	8294	860
906	8310	852
907	8323	843
908	8332	834
909	8342	825
910	8350	815
911	8360	806
912	8370	797
913	8379	788
914	8390	779
915	8399	770
916	8409	761
917	8418	751
918	8428	742
919	8438	733
920	8447	724
921	8458	715
922	8471	706
923	8483	697
924	8495	688
925	8507	679
926	8516	670
927	8526	661
928	8535	652
929	8546	643
930	8555	634
931	8563	624
932	8573	615
933	8581	606
934	8591	597
935	8599	588
936	8610	578
937	8620	569
938	8629	560
939	8640	551
940	8648	542
941	8658	533
942	8667	523
943	8676	514
944	8685	505
945	8694	496
946	8703	487
947	8711	477
948	8720	468
949	8729	459
950	8739	450
951	8748	441
952	8758	431
953	8767	422
954	8777	413
955	8788	404
956	8800	395
957	8809	386
958	8819	377
959	8827	367
960	8837	358
961	8846	349
962	8856	340
963	8864	331
964	8873	321
965	8882	312
966	8890	303
967	8899	294
968	8908	284
969	8917	275
970	8925	266
971	8935	257
972	8945	248
973	8955	239
974	8964	229
975	8973	220
976	8982	211
977	8992	202
978	9001	193
979	9009	183
980	9018	174
981	9026	165
982	9035	156
983	9043	147
984	9053	137
985	9063	128
986	9071	119
987	9081	110
988	9090	101
989	9100	91
990	9108	82
991	9118	73
992	9126	64
993	9135	55
994	9143	45
995	9153	36
996	9164	27
997	9174	18
998	9183	9
999	9191	0
